name,symbol,circulating-supply,market-cap,24h-price-change,7d-price-change,price,volume
BSClaunch,BSL,"1,953,140 BSL","$206367.07 $206,367",20.03%,64.83%,$0.11 ,"$106,728 1,010,112 BSL"
Ethereum Gold,ETG,"20,199,973 ETG","$206377.73 $206,378",51.73%,38.48%,$0.01 ,"$36 3,509 ETG"
CryptoSoul,SOUL,"316,001,123 SOUL","$206436.62 $206,437",30.28%,12.01%,$0.00 ,"$2,595 3,972,096 SOUL"
Zeusshield,ZSC,"1,169,566,883 ZSC","$206216.11 $206,216",19.68%,24.68%,$0.00 ,"$1,138 6,454,610 ZSC"
TouchCon,TOC,"102,200,364 TOC","$205172.48 $205,172",14.03%,30.99%,$0.00 ,"$19,661 9,793,500 TOC"
Wrapped Basic CryptoKitties,WCK,"65,610 WCK","$204044.17 $204,044",6.73%,31.79%,$3.11 ,$20 7 WCK
EtherGem,EGEM,"19,483,114 EGEM","$204614.72 $204,615",25.19%,41.78%,$0.01 ,"$1,246 118,660 EGEM"
Dynamite,DYNMT,"391,334 DYNMT","$204278.33 $204,278",0.25%,9.72%,$0.52 ,"$165,758 317,541 DYNMT"
SwiftCash,SWIFT,"180,340,777 SWIFT","$203176.43 $203,176",3.38%,6.95%,$0.00 ,$0 60 SWIFT
Unicly Chris McCann Collection,UCM,"1,000,000 UCM","$201103.90 $201,104",6.30%,27.28%,$0.20 ,--
yTSLA Finance,yTSLA,"66,423 yTSLA","$249927.37 $249,927",24.21%,12.89%,$3.76 ,"$41,095 10,922 YTSLA"
Niobium Coin,NBC,"62,627,668 NBC","$201705.44 $201,705",34.60%,43.93%,$0.00 ,"$106 32,901 NBC"
WandX,WAND,"12,244,135 WAND","$200472.81 $200,473",15.35%,43.38%,$0.02 ,"$1,934 118,096 WAND"
Cubiex,CBIX,"71,852,557 CBIX","$199642.20 $199,642",9.57%,44.36%,$0.00 ,"$510 183,628 CBIX"
HelloGold,HGT,"263,034,654 HGT","$199701.74 $199,702",4.32%,19.00%,$0.00 ,--
ImageCoin,IMG,"11,227,218 IMG","$197971.73 $197,972",40.26%,31.20%,$0.02 ,"$162,165 9,196,547 IMG"
ChartEx,CHART,"20,000,000 CHART","$198635.14 $198,635",12.40%,7.51%,$0.01 ,"$9,405 946,987 CHART"
Yocoin,YOC,"369,659,255 YOC","$198900.01 $198,900",40.62%,4.75%,$0.00 ,"$26 48,152 YOC"
UpToken,UP,"146,540,250 UP","$198186.39 $198,186",7.19%,28.85%,$0.00 ,"$159 117,846 UP"
InsaneCoin,INSN,"25,511,293 INSN","$197196.63 $197,197",1.03%,31.60%,$0.01 ,"$10 1,246 INSN"
Vidulum,VDL,"7,161,625 VDL","$196539.20 $196,539",9.42%,36.79%,$0.03 ,"$369 13,452 VDL"
RMPL,RMPL,"588,943 RMPL","$195385.53 $195,386",6.64%,27.66%,$0.33 ,--
AC3,AC3,"491,008,312 AC3","$194607.97 $194,608",11.17%,9.85%,$0.00 ,--
Decentralized Machine Learning,DML,"272,937,007 DML","$192946.00 $192,946",4.69%,20.48%,$0.00 ,"$3,048 4,311,267 DML"
Felixo Coin,FLX,"150,000,000 FLX","$193244.45 $193,244",3.18%,6.41%,$0.00 ,--
CorionX,CORX,"114,283,367 CORX","$192729.76 $192,730",8.03%,30.21%,$0.00 ,"$150,541 89,266,786 CORX"
ChessCoin,CHESS,"54,032,769 CHESS","$191428.10 $191,428",3.18%,20.18%,$0.00 ,--
Deutsche eMark,DEM,"53,653,541 DEM","$190789.13 $190,789",2.82%,27.01%,$0.00 ,"$267 75,162 DEM"
Kora Network Token,KNT,"335,625,000 KNT","$190878.28 $190,878",6.71%,27.68%,$0.00 ,"$28 50,000 KNT"
Cash Tech,CATE,"11,755,793 CATE","$194644.14 $194,644",21.20%,29.57%,$0.02 ,"$33,006 1,993,448 CATE"
MORPHOSE,MORPH,"54,166 MORPH","$187600.08 $187,600",15.60%,62.93%,$3.46 ,"$1,096 317 MORPH"
ROAD,ROAD,"79,300,570 ROAD","$187235.58 $187,236",13.61%,14.35%,$0.00 ,"$23,851 10,101,871 ROAD"
HakunaMatata,TATA,"452,053,190,123,682 TATA","$178235.53 $178,236",32.86%,95.60%,<$0.00000001,"$93,512 237,171,688,710,257 TATA"
Sociall,SCL,"16,714,020 SCL","$185399.06 $185,399",3.38%,40.04%,$0.01 ,--
InvestFeed,IFT,"191,381,257 IFT","$184916.83 $184,917",3.18%,20.30%,$0.00 ,--
Switch,ESH,"12,113,793 ESH","$184702.52 $184,703",2.50%,15.80%,$0.02 ,"$2,051 134,516 ESH"
Emerald Crypto,EMD,"19,117,129 EMD","$184711.94 $184,712",38.51%,46.22%,$0.01 ,"$50 5,139 EMD"
Elementeum,ELET,"5,223,113 ELET","$182864.25 $182,864",7.18%,27.85%,$0.04 ,"$42 1,211 ELET"
Boolberry,BBR,"13,207,454 BBR","$182799.83 $182,800",3.26%,20.23%,$0.01 ,--
Bitether,BTR,"56,735,293 BTR","$182729.67 $182,730",3.18%,20.19%,$0.00 ,--
Gems,GEM,"1,203,292,896 GEM","$182396.07 $182,396",22.19%,34.25%,$0.00 ,"$1,433 9,450,869 GEM"
Bridge Protocol,BRDG,"224,088,259 BRDG","$181458.50 $181,458",33.49%,40.16%,$0.00 ,"$1,773 2,189,900 BRDG"
1Million Token,1MT,"995,699 1MT","$178454.86 $178,455",55.10%,40.19%,$0.18 ,"$839 4,682 1MT"
PKG Token,PKG,"8,969,257,745 PKG","$180236.74 $180,237",5.75%,30.92%,$0.00 ,"$6,152 306,140,006 PKG"
PEPS Coin,PEPS,"45,227,905 PEPS","$174727.87 $174,728",17.05%,31.62%,$0.00 ,"$561 145,239 PEPS"
Elysian,ELY,"97,966,210 ELY","$173240.97 $173,241",6.66%,27.05%,$0.00 ,"$804,552 454,967,024 ELY"
Unicly Genesis Collection,UUNICLY,"1,000,000 UUNICLY","$172325.99 $172,326",8.77%,36.78%,$0.17 ,"$1,594 9,253 UUNICLY"
Tokenbox,TBX,"11,235,451 TBX","$172971.06 $172,971",8.61%,29.17%,$0.02 ,"$2,972 193,076 TBX"
GoNetwork,GOT,"71,994,620 GOT","$169126.29 $169,126",9.93%,8.47%,$0.00 ,"$127,177 54,137,472 GOT"
2GIVE,2GIVE,"527,616,282 2GIVE","$169826.88 $169,827",3.26%,20.24%,$0.00 ,--
CROAT,CROAT,"87,787,844 CROAT","$169645.14 $169,645",3.18%,20.18%,$0.00 ,"$14 7,220 CROAT"
Decentralized Crypto Token,DCTO,"993,067,232 DCTO","$169333.64 $169,334",3.38%,20.75%,$0.00 ,--
NFX Coin,NFXC,"104,824,015 NFXC","$168805.49 $168,805",19.17%,6.86%,$0.00 ,"$1,971 1,224,179 NFXC"
Castweet,CTT,"1,793,952 CTT","$168669.16 $168,669",0.21%,17.41%,$0.09 ,"$13,118 139,523 CTT"
AllSafe,ASAFE,"9,145,370 ASAFE","$168360.27 $168,360",23.62%,44.98%,$0.02 ,"$51 2,791 ASAFE"
PiplCoin,PIPL,"172,536,809 PIPL","$166708.90 $166,709",3.18%,20.18%,$0.00 ,--
MorCrypto Coin,MOR,"21,126,669 MOR","$166370.56 $166,371",5.32%,24.93%,$0.01 ,--
MesChain,MES,"899,700,232 MES","$166122.21 $166,122",8.76%,22.70%,$0.00 ,--
Fivebalance,FBN,"1,086,681,543 FBN","$166101.73 $166,102",15.17%,36.85%,$0.00 ,"$3,922 25,658,130 FBN"
FUD.finance,FUD,"23,620 FUD","$164674.33 $164,674",6.30%,26.95%,$6.97 ,--
SBank,STS,"9,368,774 STS","$164942.63 $164,943",17.05%,27.47%,$0.02 ,"$4,233 240,458 STS"
Bezop,BEZ,"55,685,931 BEZ","$175225.35 $175,225",4.87%,31.07%,$0.00 ,--
Stabilize,STBZ,"133,000 STBZ","$163101.72 $163,102",7.88%,51.52%,$1.23 ,"$15,988 13,037 STBZ"
Sentinel Chain,SENC,"197,269,666 SENC","$161722.81 $161,723",8.35%,18.58%,$0.00 ,"$56,070 68,393,839 SENC"
Datawallet,DXT,"390,222,225 DXT","$162698.21 $162,698",2.35%,0.56%,$0.00 ,"$3,582 8,590,909 DXT"
Civitas,CIV,"8,129,108 CIV","$162326.84 $162,327",23.04%,3.10%,$0.02 ,"$170 8,494 CIV"
BLOC.MONEY,BLOC,"18,647,563 BLOC","$162159.22 $162,159",20.80%,26.77%,$0.01 ,"$10,405 1,196,470 BLOC"
Parkgene,GENE,"294,760,863 GENE","$161389.22 $161,389",3.26%,20.23%,$0.00 ,--
Fantasy Sports,DFS,"5,532,031 DFS","$160715.87 $160,716",2.80%,27.29%,$0.03 ,--
KnoxFS (new),KFX,"409,235 KFX","$159155.46 $159,155",2.56%,23.68%,$0.39 ,"$19,458 50,031 KFX"
Kurrent,KURT,"61,364,813 KURT","$158112.13 $158,112",3.26%,20.23%,$0.00 ,--
PopularCoin,POP,"4,158,754,077 POP","$157679.12 $157,679",86.73%,27.66%,$0.00 ,$0 21 POP
SafeInsure,SINS,"20,997,147 SINS","$157541.44 $157,541",22.54%,57.13%,$0.01 ,"$383 50,999 SINS"
Cubiex Power,CBIX-P,"168,605 CBIX-P","$156972.44 $156,972",7.63%,30.74%,$0.93 ,$348 374 CBIX-P
Bitgesell,BGL,"11,435,345 BGL","$156738.20 $156,738",7.45%,19.66%,$0.01 ,"$11,009 803,164 BGL"
MicroMoney,AMM,"15,777,256 AMM","$154749.16 $154,749",22.24%,36.96%,$0.01 ,"$92,447 9,425,340 AMM"
Escroco Emerald,ESCE,"900,000,000 ESCE","$153464.21 $153,464",3.38%,20.65%,$0.00 ,--
MetaMorph,METM,"341,349,997 METM","$152718.93 $152,719",12.56%,44.79%,$0.00 ,"$1,077 2,407,597 METM"
Yfscience,YFSI,"27,774 YFSI","$152845.89 $152,846",3.15%,16.01%,$5.50 ,--
ICE ROCK MINING,ROCK2,"15,724,272 ROCK2","$148902.30 $148,902",18.06%,11.34%,$0.01 ,"$30,281 3,197,756 ROCK2"
VouchForMe,IPL,"245,661,176 IPL","$147206.50 $147,207",5.77%,38.85%,$0.00 ,"$22 35,903 IPL"
PYRO Network,PYRO,"808,750,259 PYRO","$145570.63 $145,571",3.56%,21.05%,$0.00 ,--
OptiToken,OPTI,"29,799,060 OPTI","$143962.57 $143,963",3.18%,20.18%,$0.00 ,"$7,989 1,653,657 OPTI"
Merebel,MERI,"6,195,344 MERI","$143561.78 $143,562",29.56%,57.59%,$0.02 ,"$242 10,451 MERI"
Evil Coin,EVIL,"21,020,383 EVIL","$142172.53 $142,173",3.18%,20.18%,$0.01 ,--
Universe,UNI,"88,029,749 UNI","$141760.50 $141,761",3.18%,24.27%,$0.00 ,--
SmartCoin,SMC,"29,091,309 SMC","$140543.35 $140,543",3.18%,50.12%,$0.00 ,--
ZUM TOKEN,ZUM,"14,477,721,888 ZUM","$139267.54 $139,268",5.25%,63.29%,$0.00 ,"$66,570 6,920,380,616 ZUM"
Simple Software Solutions,SSS,"2,871,009 SSS","$138616.22 $138,616",30.90%,37.68%,$0.05 ,$28 583 SSS
HeartBout,HB,"53,495,267 HB","$137835.51 $137,836",3.18%,20.19%,$0.00 ,"$15 5,982 HB"
Aeryus,AER,"12,292,955 AER","$137816.00 $137,816",6.56%,20.16%,$0.01 ,--
wave edu coin,WEC,"142,479,441 WEC","$137150.00 $137,150",3.48%,13.54%,$0.00 ,"$1,457 1,513,797 WEC"
1MillionNFTs,1MIL,"120,000 1MIL","$136071.64 $136,072",14.78%,40.15%,$1.13 ,"$124,795 110,055 1MIL"
Gravity,GZRO,"1,385,822,756 GZRO","$133818.82 $133,819",27.45%,19.66%,$0.00 ,"$1 11,601 GZRO"
FSBT API Token,FSBT,"3,509,535 FSBT","$134397.62 $134,398",5.94%,97.72%,$0.04 ,"$31,121 812,665 FSBT"
ZeuxCoin,ZUC,"189,999,899 ZUC","$133070.84 $133,071",22.26%,0.00%,$0.00 ,"$46 65,724 ZUC"
TOKPIE,TKP,"28,714,064 TKP","$132820.60 $132,821",6.64%,27.36%,$0.00 ,--
Thrive Token,THRT,"103,247,500 THRT","$132938.53 $132,939",3.38%,36.27%,$0.00 ,--
Cobinhood,COB,"410,999,847 COB","$132297.92 $132,298",3.38%,20.34%,$0.00 ,--
Transcodium,TNS,"75,807,938 TNS","$131395.35 $131,395",82.92%,1.22%,$0.00 ,"$667 384,548 TNS"
Cryptojacks,CJ,"406,568,581 CJ","$130864.56 $130,865",3.26%,20.23%,$0.00 ,--
LHT,LHT,"50,000,000 LHT","$130700.51 $130,701",4.53%,21.79%,$0.00 ,"$14 5,455 LHT"
PAYCENT,PYN,"85,310,628 PYN","$129740.65 $129,741",2.37%,16.31%,$0.00 ,"$543 356,760 PYN"
Scorum Coins,SCR,"29,265,075 SCR","$128711.87 $128,712",5.15%,28.58%,$0.00 ,"$3,249 738,834 SCR"
LuckySevenToken,LST,"65,590,200 LST","$126301.14 $126,301",2.56%,15.22%,$0.00 ,--
Bitcoin Classic,BXC,"600,147 BXC","$125406.21 $125,406",6.07%,36.21%,$0.21 ,"$31,885 152,591 BXC"
Kush Finance,KSEED,"285,186 KSEED","$123775.17 $123,775",11.70%,29.23%,$0.43 ,"$2,097 4,831 KSEED"
YENTEN,YTN,"41,952,065 YTN","$123970.66 $123,971",3.88%,24.51%,$0.00 ,"$27 9,293 YTN"
Pyrk,PYRK,"15,781,994 PYRK","$123889.62 $123,890",4.83%,12.79%,$0.01 ,"$10,642 1,355,628 PYRK"
SkinCoin,SKIN,"88,183,483 SKIN","$121918.88 $121,919",5.44%,21.26%,$0.00 ,"$26,400 19,094,795 SKIN"
CBDAO,BREE,"1,067,840 BREE","$121461.43 $121,461",6.64%,334.02%,$0.11 ,"$77,308 679,658 BREE"
PureVidz,VIDZ,"125,279,775 VIDZ","$121048.10 $121,048",3.18%,20.18%,$0.00 ,--
BitSend,BSD,"31,237,725 BSD","$120655.99 $120,656",3.26%,26.35%,$0.00 ,$1 343 BSD
Bitcoin Token,BTCT,"13,790,433 BTCT","$119921.61 $119,922",22.79%,32.51%,$0.01 ,"$53 6,048 BTCT"
Insight Protocol,INX,"183,285,663 INX","$120047.25 $120,047",18.39%,20.89%,$0.00 ,"$67,796 103,509,394 INX"
EtherInc,ETI,"318,472,252 ETI","$119495.98 $119,496",3.18%,20.18%,$0.00 ,--
Kind Ads Token,KIND,"42,246,693 KIND","$119369.96 $119,370",4.83%,29.43%,$0.00 ,--
Ouroboros,OURO,"31,296,749 OURO","$118958.94 $118,959",2.56%,10.61%,$0.00 ,"$614 161,653 OURO"
Beer Money,BEER,"30,650,000 BEER","$118430.27 $118,430",17.98%,39.90%,$0.00 ,"$28,288 7,321,037 BEER"
ModiHost,AIM,"1,246,664 AIM","$118332.26 $118,332",3.35%,21.31%,$0.09 ,"$26,607 280,311 AIM"
Helix,HLIX,"33,341,182 HLIX","$118048.89 $118,049",3.26%,19.74%,$0.00 ,$3 920 HLIX
Cyber Movie Chain,CMCT,"20,000,000,000 CMCT","$117536.47 $117,536",6.64%,27.66%,$0.00 ,--
GuccioneCoin,GCC,"20,285,537 GCC","$117602.02 $117,602",32.97%,44.74%,$0.01 ,$0 0 GCC
Fox Trading,FOXT,"8,663,499 FOXT","$117348.00 $117,348",15.55%,19.59%,$0.01 ,"$129,999 9,597,500 FOXT"
Grimm,GRIMM,"60,501,300 GRIMM","$117137.12 $117,137",17.01%,4.94%,$0.00 ,"$2,937 1,516,750 GRIMM"
Opal,OPAL,"15,156,364 OPAL","$117155.33 $117,155",3.18%,20.18%,$0.01 ,--
Veles,VLS,"1,289,023 VLS","$116660.23 $116,660",28.33%,6.54%,$0.09 ,--
NPCoin,NPC,"72,457,335 NPC","$114871.99 $114,872",11.40%,9.72%,$0.00 ,--
Kingdom Game 4.0,KDG,"31,080,481 KDG","$115898.71 $115,899",9.06%,27.28%,$0.00 ,"$35,387 9,489,610 KDG"
Bolivarcoin,BOLI,"15,738,426 BOLI","$114558.03 $114,558",45.97%,63.26%,$0.01 ,"$297 40,831 BOLI"
Commercium,CMM,"44,297,172 CMM","$112709.07 $112,709",9.27%,23.10%,$0.00 ,$0 2 CMM
BidiPass,BDP,"386,631,337 BDP","$112099.47 $112,099",1.61%,24.84%,$0.00 ,"$7,993 27,566,280 BDP"
StrongHands Masternode,SHMN,"3,060,688 SHMN","$110406.06 $110,406",3.18%,29.24%,$0.04 ,$19 527 SHMN
W Green Pay,WGP,"17,630,267 WGP","$107000.06 $107,000",3.73%,12.85%,$0.01 ,"$314,450 51,811,477 WGP"
Pirl,PIRL,"84,593,637 PIRL","$108981.67 $108,982",30.84%,30.60%,$0.00 ,"$9 7,324 PIRL"
Alchemint Standards,SDS,"317,946,798 SDS","$108494.55 $108,495",6.64%,27.66%,$0.00 ,"$19 55,800 SDS"
TCASH,TCASH,"35,200,000 TCASH","$110665.34 $110,665",6.73%,35.94%,$0.00 ,"$6,476 2,059,934 TCASH"
Matrexcoin,MAC,"22,176,440 MAC","$107076.57 $107,077",3.38%,20.34%,$0.00 ,--
DABANKING,DAB,"5,118,932 DAB","$107032.27 $107,032",0.05%,0.00%,$0.02 ,--
Knekted,KNT,"1,000,000,000 KNT","$106264.00 $106,264",4.67%,22.54%,$0.00 ,"$2 17,638 KNT"
Scrypta,LYRA,"17,387,095 LYRA","$106012.22 $106,012",22.19%,56.83%,$0.01 ,"$102 16,702 LYRA"
MoneroV,XMV,"2,700,000 XMV","$105152.14 $105,152",19.76%,46.48%,$0.04 ,"$6,669 171,235 XMV"
Iridium,IRD,"23,170,943 IRD","$104485.37 $104,485",9.63%,25.50%,$0.00 ,"$835 185,187 IRD"
imbrex,REX,"8,660,756 REX","$104415.54 $104,416",3.26%,11.49%,$0.01 ,--
Fortuna,FOTA,"479,997,016 FOTA","$104202.34 $104,202",37.12%,60.04%,$0.00 ,"$1,379 6,352,794 FOTA"
TagCoin,TAG,"6,433,866 TAG","$103609.07 $103,609",33.68%,21.76%,$0.02 ,"$32 2,000 TAG"
SuperCoin,SUPER,"53,218,386 SUPER","$102841.58 $102,842",3.18%,20.18%,$0.00 ,--
Arionum,ARO,"159,429,300 ARO","$102638.31 $102,638",3.38%,59.32%,$0.00 ,"$36 55,936 ARO"
JUIICE,JUI,"6,600,000,100 JUI","$102180.85 $102,181",4.19%,26.65%,$0.00 ,--
Cipher,CPR,"75,683,402 CPR","$102259.99 $102,260",111.90%,41.10%,$0.00 ,"$91,848 67,977,530 CPR"
Aditus,ADI,"234,110,888 ADI","$102069.52 $102,070",2.25%,2.14%,$0.00 ,"$65,474 150,173,985 ADI"
EthereumX,ETX,"87,225,579 ETX","$100470.96 $100,471",73.46%,32.08%,$0.00 ,"$906 786,830 ETX"
Photon,PHO,"40,174,152,936 PHO","$100085.00 $100,085",11.16%,30.74%,$0.00 ,"$20 8,122,494 PHO"
TRAXIA,TM2,"328,320,714 TM2","$100167.37 $100,167",20.08%,42.53%,$0.00 ,"$394 1,290,893 TM2"
SHIELD,XSH,"512,973,375 XSH","$99129.26 $99,129",4.53%,4.23%,$0.00 ,"$8 43,781 XSH"
Rimbit,RBT,"197,581,050 RBT","$98790.53 $98,791",9.51%,28.93%,$0.00 ,$0 1 RBT
Connectome,CNTM,"1,210,675 CNTM","$99554.97 $99,555",35.62%,45.90%,$0.08 ,"$548,089 6,665,240 CNTM"
BBSCoin,BBS,"101,578,614,878 BBS","$98147.52 $98,148",3.19%,19.73%,$0.00 ,"$0 439,150 BBS"
More Coin,MORE,"2,000,000 MORE","$97855.43 $97,855",4.01%,27.84%,$0.05 ,"$166 3,401 MORE"
Bitzeny,ZNY,"75,614,500 ZNY","$97359.07 $97,359",3.38%,36.27%,$0.00 ,$0 1 ZNY
COVIR.IO,CVR,"119,108 CVR","$97093.54 $97,094",6.64%,86.31%,$0.82 ,$38 47 CVR
Waletoken,WTN,"19,918,713,667 WTN","$94402.23 $94,402",10.23%,13.88%,$0.00 ,"$211 44,468,960 WTN"
Energycoin,ENRG,"122,325,446 ENRG","$94496.62 $94,497",3.26%,20.23%,$0.00 ,--
Litecoin Plus,LCP,"2,752,341 LCP","$93964.53 $93,965",15.18%,34.93%,$0.03 ,$26 775 LCP
Quoxent,QUO,"234,918,133 QUO","$93108.28 $93,108",11.41%,9.89%,$0.00 ,--
Baguette Token,BGTT,"11,609,998 BGTT","$93205.36 $93,205",7.14%,42.73%,$0.01 ,--
PayCoin,XPY,"11,995,342 XPY","$92721.33 $92,721",3.18%,20.18%,$0.01 ,--
Universal Currency,UNIT,"15,949,110 UNIT","$92410.28 $92,410",3.38%,20.34%,$0.01 ,--
AceD,ACED,"102,487,000 ACED","$89809.59 $89,810",0.88%,20.90%,$0.00 ,"$7,519 8,580,120 ACED"
PengolinCoin,PGO,"25,424,968 PGO","$88153.55 $88,154",4.32%,30.52%,$0.00 ,"$116,769 33,678,090 PGO"
SiaCashCoin,SCC,"16,734,693,829 SCC","$88829.41 $88,829",0.55%,6.60%,$0.00 ,"$708 133,446,129 SCC"
Ubricoin,UBN,"2,337,584,182 UBN","$88543.79 $88,544",37.82%,27.83%,$0.00 ,"$9 225,822 UBN"
CoinUs,CNUS,"340,000,000 CNUS","$87943.62 $87,944",3.77%,19.85%,$0.00 ,"$660 2,552,609 CNUS"
Wrapped Virgin Gen-0 CryptoKitties,WVG0,340 WVG0,"$87386.10 $87,386",6.30%,32.61%,$257.02 ,--
Defis,XGM,"134,558,580 XGM","$87581.38 $87,581",34.90%,24.38%,$0.00 ,"$381 586,043 XGM"
Agora,VOTE,"37,567,045 VOTE","$87494.97 $87,495",25.38%,25.91%,$0.00 ,"$98 42,065 VOTE"
Bata,BTA,"5,052,601 BTA","$86524.28 $86,524",2.81%,44.46%,$0.02 ,"$65 3,785 BTA"
Bitcoin Adult,BTAD,"51,582,493 BTAD","$86472.34 $86,472",48.19%,9.33%,$0.00 ,"$31 18,321 BTAD"
YFIVE FINANCE,YFIVE,"22,509 YFIVE","$86029.49 $86,029",1.28%,11.64%,$3.82 ,"$113,939 29,812 YFIVE"
Panda Yield,BBOO,"1,395,721 BBOO","$85719.92 $85,720",11.18%,34.54%,$0.06 ,"$8,120 132,215 BBOO"
CPUchain,CPU,"51,282,200 CPU","$82583.34 $82,583",0.85%,28.72%,$0.00 ,"$74 45,979 CPU"
ShowHand,HAND,"61,912,434,418 HAND","$82159.33 $82,159",6.64%,27.66%,$0.00 ,"$6 4,590,143 HAND"
Rapidz,RPZX,"1,847,661,820 RPZX","$82820.74 $82,821",45.44%,74.92%,$0.00 ,"$406 9,046,517 RPZX"
ATBCoin,ATB,"42,038,227 ATB","$81190.83 $81,191",3.38%,20.34%,$0.00 ,--
TEAM (TokenStars),TEAM,"12,429,563 TEAM","$80963.20 $80,963",24.59%,46.65%,$0.01 ,"$117 17,959 TEAM"
EnterCoin,ENTRC,"5,696,850 ENTRC","$80667.22 $80,667",0.08%,17.92%,$0.01 ,$10 707 ENTRC
Italian Lira,ITL,"24,999,999,998 ITL","$80468.93 $80,469",3.26%,20.23%,$0.00 ,"$0 29,669 ITL"
INRToken,INRT,"248,253,620 INRT","$79956.06 $79,956",3.18%,20.18%,$0.00 ,"$10 30,305 INRT"
Bela,BELA,"49,144,382 BELA","$79091.92 $79,092",3.26%,60.11%,$0.00 ,--
POPCHAIN,PCH,"892,799,357 PCH","$78255.67 $78,256",0.14%,1.54%,$0.00 ,--
Xuez,XUEZ,"4,111,281 XUEZ","$76976.74 $76,977",14.72%,27.51%,$0.02 ,--
Ethereum Gold Project,ETGP,"5,925,401,909 ETGP","$76336.74 $76,337",3.18%,36.16%,$0.00 ,"$88 6,799,800 ETGP"
Nyerium,NYEX,"33,755,887 NYEX","$76103.27 $76,103",3.36%,53.50%,$0.00 ,"$82 36,159 NYEX"
Coin2.1,C2,"78,245,975 C2","$75556.44 $75,556",3.26%,20.20%,$0.00 ,--
Neural Protocol,NRP,"9,497,994,014 NRP","$74871.97 $74,872",11.23%,28.61%,$0.00 ,"$2,243 284,506,432 NRP"
SynLev,SYN,"12,247,020 SYN","$74061.03 $74,061",5.39%,36.52%,$0.01 ,"$95,196 15,741,957 SYN"
SovranoCoin,SVR,"1,450,663 SVR","$74167.07 $74,167",11.29%,22.24%,$0.05 ,--
Ellaism,ELLA,"46,106,910 ELLA","$74203.48 $74,203",3.26%,20.23%,$0.00 ,"$46 28,795 ELLA"
AiLink Token,ALI,"5,184,020,527 ALI","$73684.49 $73,684",11.06%,29.55%,$0.00 ,"$4,188 294,670,771 ALI"
Arepacoin,AREPA,"17,166,492 AREPA","$73468.73 $73,469",2.33%,40.07%,$0.00 ,"$8 1,899 AREPA"
WeBlock,WON,"4,505,536 WON","$72576.14 $72,576",0.87%,1.83%,$0.02 ,"$8,559 531,332 WON"
ITO Utility Token,IUT,"92,163,649 IUT","$71612.96 $71,613",37.30%,51.39%,$0.00 ,$0 20 IUT
Bintex Futures,BNTX,"100,754 BNTX","$70059.75 $70,060",2.86%,1.32%,$0.70 ,"$871,371 1,253,132 BNTX"
Fire Lotto,FLOT,"27,481,717 FLOT","$70765.58 $70,766",27.98%,8.83%,$0.00 ,"$8 2,942 FLOT"
PolypuX,PUX,"40,000,000 PUX","$70070.88 $70,071",4.63%,12.48%,$0.00 ,"$5,732 3,272,217 PUX"
Gentarium,GTM,"5,467,335 GTM","$70320.72 $70,321",42.38%,59.12%,$0.01 ,"$103 7,989 GTM"
EUNOMIA,ENTS,"16,420,688,682 ENTS","$70265.20 $70,265",28.44%,31.95%,$0.00 ,$0 752 ENTS
MFCoin,MFC,"20,901,004 MFC","$70270.12 $70,270",7.16%,42.62%,$0.00 ,"$29 8,748 MFC"
GoldBlocks,GB,"15,563,873 GB","$70134.86 $70,135",3.26%,20.23%,$0.00 ,--
BitcoiNote,BTCN,"12,729,211 BTCN","$69695.73 $69,696",2.87%,24.61%,$0.01 ,"$37 6,836 BTCN"
IFX24,IFX24,"3,000,000 IFX24","$68559.53 $68,560",61.63%,32.55%,$0.02 ,$0 1 IFX24
Vortex Defi,VTX,"2,500,000 VTX","$67930.17 $67,930",8.34%,31.89%,$0.03 ,"$4,240 156,031 VTX"
GCN Coin,GCN,"172,076,810,000 GCN","$68454.51 $68,455",51.87%,58.36%,$0.00 ,"$11 28,511,685 GCN"
MedicCoin,MEDIC,"298,349,398 MEDIC","$67222.00 $67,222",60.17%,6.93%,$0.00 ,"$73 325,591 MEDIC"
Ruler Protocol,RULER,"3,739 RULER","$65074.79 $65,075",0.89%,41.51%,$17.40 ,"$102,302 5,878 RULER"
Herbalist Token,HERB,"9,499,999,999 HERB","$65148.84 $65,149",6.59%,160.70%,$0.00 ,"$170 24,786,395 HERB"
Adzcoin,ADZ,"49,827,043 ADZ","$64152.46 $64,152",3.26%,20.23%,$0.00 ,--
GeyserCoin,GSR,"1,526,387 GSR","$63909.25 $63,909",0.69%,3.77%,$0.04 ,"$94 2,242 GSR"
ImageCash,IMGC,"5,300,096 IMGC","$63056.96 $63,057",3.48%,26.29%,$0.01 ,--
EvenCoin,EVN,"31,247,621 EVN","$60995.77 $60,996",4.86%,27.68%,$0.00 ,"$125,836 64,464,732 EVN"
Bitcoin Incognito,XBI,"13,031,736 XBI","$60695.84 $60,696",22.10%,5.26%,$0.00 ,"$258 55,333 XBI"
Bitnation,XPAT,"30,444,873,640 XPAT","$60965.03 $60,965",0.00%,33.24%,$0.00 ,"$37 18,437,876 XPAT"
Rubies,RBIES,"10,415,252 RBIES","$60343.50 $60,344",3.26%,20.20%,$0.01 ,--
Privatix,PRIX,"1,125,455 PRIX","$60134.62 $60,135",2.68%,26.82%,$0.05 ,"$21,955 410,904 PRIX"
Eroscoin,ERO,"186,744,000 ERO","$60108.36 $60,108",3.26%,20.20%,$0.00 ,--
