name,symbol,circulating-supply,market-cap,24h-price-change,7d-price-change,price,volume
Alpha Finance Lab,ALPHA,"285,579,035 ALPHA","$106.75M $106,746,913",22.85%,43.86%,$0.37 ,"$24,282,265 64,962,120 ALPHA"
PAX Gold,PAXG,"60,161 PAXG","$107.05M $107,050,966",0.61%,4.87%,"$1,779.41 ","$33,471,500 18,810 PAXG"
STASIS EURO,EURS,"88,625,940 EURS","$106.80M $106,796,572",1.69%,2.60%,$1.21 ,"$164,627 136,617 EURS"
Phala Network,PHA,"177,634,380 PHA","$105.59M $105,591,697",22.76%,36.79%,$0.59 ,"$29,615,492 49,821,431 PHA"
Strike,STRK,"2,910,140 STRK","$105.06M $105,057,215",9.73%,19.96%,$36.10 ,"$1,228,300 34,025 STRK"
DODO,DODO,"110,551,965 DODO","$104.12M $104,115,159",19.10%,32.96%,$0.94 ,"$31,797,411 33,763,251 DODO"
Haven Protocol,XHV,"13,738,569 XHV","$104.12M $104,118,596",12.36%,38.34%,$7.58 ,"$1,420,298 187,410 XHV"
Divi,DIVI,"2,361,207,828 DIVI","$98.85M $98,849,045",6.83%,16.98%,$0.04 ,"$313,549 7,489,750 DIVI"
COTI,COTI,"669,740,238 COTI","$97.00M $96,999,097",14.14%,34.55%,$0.14 ,"$24,421,905 168,623,555 COTI"
Utrust,UTK,"450,000,000 UTK","$94.06M $94,062,248",16.61%,35.68%,$0.21 ,"$8,727,572 41,753,280 UTK"
Velas,VLX,"2,124,380,663 VLX","$93.03M $93,026,049",18.73%,31.82%,$0.04 ,"$2,983,054 68,122,235 VLX"
Streamr,DATA,"884,250,679 DATA","$90.99M $90,993,883",22.30%,41.43%,$0.10 ,"$27,299,405 265,287,255 DATA"
MonaCoin,MONA,"65,729,675 MONA","$91.23M $91,232,665",13.71%,28.27%,$1.39 ,"$5,179,194 3,731,413 MONA"
JUST,JST,"2,260,326,706 JST","$90.60M $90,604,880",18.94%,35.89%,$0.04 ,"$61,159,896 1,525,760,490 JST"
Badger DAO,BADGER,"9,605,248 BADGER","$90.52M $90,524,279",13.86%,33.15%,$9.42 ,"$10,574,917 1,122,071 BADGER"
HEX,HEX,"173,411,074,413 HEX","$13.58B $13,581,517,387",5.67%,12.75%,$0.08 ,"$36,803,896 469,918,275 HEX"
Egoras,EGR,"65,160,356,358 EGR","$3.99B $3,989,490,183",7.10%,43.69%,$0.06 ,"$2,645,561 43,209,964 EGR"
Fei Protocol,FEI,"2,041,429,433 FEI","$2.01B $2,006,160,180",1.36%,2.06%,$0.98 ,"$84,744,257 86,234,102 FEI"
SafeMoon,SAFEMOON,"585,536,366,402,812 SAFEMOON","$1.99B $1,985,879,113",12.15%,27.59%,$0.00 ,"$13,455,925 3,967,478,977,622 SAFEMOON"
Wrapped BNB,WBNB,"7,020,901 WBNB","$1.94B $1,937,454,042",14.01%,27.06%,$275.28 ,"$447,191,083 1,620,521 WBNB"
Counos X,CCXX,"17,839,903 CCXX","$1.80B $1,803,700,633",0.78%,1.27%,$101.15 ,"$4,173,835 41,282 CCXX"
The Transfer Token,TTT,"105,086,957 TTT","$1.38B $1,380,433,552",2.40%,19.63%,$13.14 ,"$2,394,594 182,291 TTT"
Creditcoin,CTC,"564,970,555 CTC","$1.35B $1,348,843,910",11.24%,29.71%,$2.39 ,"$8,953,936 3,750,405 CTC"
Huobi BTC,HBTC,"39,906 HBTC","$1.30B $1,300,553,717",1.15%,19.10%,"$32,587.18 ","$58,899,535 1,807 HBTC"
stETH (Lido),STETH,"534,614 STETH","$1.01B $1,014,937,491",7.74%,26.71%,"$1,896.97 ","$615,674 324 STETH"
DeFiChain,DFI,"300,511,840 DFI","$764.12M $764,116,222",5.17%,16.90%,$2.55 ,"$3,625,817 1,425,962 DFI"
WhiteCoin,XWC,"728,706,389 XWC","$754.69M $754,685,674",6.94%,9.74%,$1.04 ,"$13,988,499 13,506,959 XWC"
Pirate Chain,ARRR,"183,093,807 ARRR","$742.34M $742,344,145",34.08%,5.26%,$4.02 ,"$7,457,289 1,839,286 ARRR"
Liquity USD,LUSD,"719,446,095 LUSD","$721.67M $721,674,958",3.47%,0.25%,$1.00 ,"$1,767,061 1,761,603 LUSD"
